epoch,train_loss,val_accuracy
1,2.521,0.255
2,1.556,0.330
3,1.532,0.283
4,1.465,0.262
5,1.428,0.431
6,1.387,0.348
7,1.349,0.391
8,1.339,0.355
9,1.322,0.431
10,1.256,0.480
11,1.234,0.480
12,1.213,0.522
13,1.234,0.476
14,1.197,0.454
15,1.218,0.486
