epoch,train_loss,val_accuracy
1,0.9676201003401176,0.8614130434782609
2,0.5415519112316163,0.8872282608695652
3,0.4376618514728287,0.904891304347826
4,0.3659240094458927,0.9130434782608695
5,0.34643820982993295,0.9103260869565217
6,0.3066632346574055,0.9184782608695652
7,0.2855621890731804,0.9157608695652174
8,0.2586969444933145,0.9157608695652174
9,0.2450292237791354,0.9266304347826086
10,0.22564722670485143,0.9320652173913043
11,0.23070397264445605,0.9279891304347826
12,0.21725715767673176,0.9279891304347826
13,0.1982453214308328,0.9307065217391305
14,0.19973475076055722,0.9334239130434783
15,0.1840745874012456,0.9347826086956522
