epoch,train_loss,val_accuracy
1,1.0600659330577955,0.8478260869565217
2,0.554022138128462,0.8845108695652174
3,0.4130657519740255,0.8967391304347826
4,0.38045226790658804,0.907608695652174
5,0.3357327982540364,0.9130434782608695
6,0.3100920591665351,0.9198369565217391
7,0.25844731730530446,0.9198369565217391
8,0.27260499633848667,0.9198369565217391
9,0.2460402517741465,0.9225543478260869
10,0.23759879858192542,0.936141304347826
11,0.23455127024942118,0.9320652173913043
12,0.2092293900964053,0.9293478260869565
13,0.20495127485660108,0.9334239130434783
14,0.18355894958316957,0.9347826086956522
15,0.19058143701809255,0.936141304347826
